Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
220,LeBron James\jamesle01,SF,32,CLE,74,2794,,,,,,,,,,,,,,,,,,,,,74,9.5,17.3,.548,1.6,4.4,.363,7.9,12.9,.611,4.6,6.8,.674,1.2,7.0,8.2,8.3,1.2,0.6,3.9,1.7,25.2
221,Al Jefferson\jeffeal01,C,32,IND,66,931,,,,,,,,,,,,,,,,,,,,,1,9.1,18.2,.499,0.0,0.0,.000,9.1,18.2,.500,2.5,3.3,.765,2.9,7.8,10.7,2.2,0.7,0.6,1.3,4.8,20.7
222,Richard Jefferson\jefferi01,SF,36,CLE,79,1614,,,,,,,,,,,,,,,,,,,,,13,3.4,7.7,.446,1.4,4.1,.333,2.0,3.5,.580,1.8,2.4,.741,0.6,3.9,4.5,1.7,0.6,0.2,1.2,3.4,10.0
223,John Jenkins\jenkijo01,SG,25,PHO,4,13,,,,,,,,,,,,,,,,,,,,,0,5.5,13.8,.400,2.8,5.5,.500,2.8,8.3,.333,5.5,5.5,1.000,0.0,2.8,2.8,2.8,0.0,0.0,0.0,0.0,19.4
224,Brandon Jennings\jennibr01,PG,27,TOT,81,1802,,,,,,,,,,,,,,,,,,,,,13,3.8,10.7,.359,1.6,5.0,.313,2.3,5.7,.399,2.3,3.0,.750,0.6,3.3,3.9,7.9,1.4,0.1,2.6,2.3,11.5
225,Jonas Jerebko\jerebjo01,PF,29,BOS,78,1232,,,,,,,,,,,,,,,,,,,,,6,3.3,7.7,.435,1.3,3.8,.346,2.0,3.9,.523,0.8,1.1,.703,1.8,6.2,8.0,2.1,0.8,0.5,1.1,3.6,8.7
226,Amir Johnson\johnsam01,PF,29,BOS,80,1608,,,,,,,,,,,,,,,,,,,,,77,4.8,8.3,.576,0.6,1.5,.409,4.2,6.8,.612,1.5,2.2,.670,2.6,5.6,8.2,3.1,1.2,1.4,1.7,4.7,11.6
227,Brice Johnson\johnsbr02,PF,22,LAC,3,9,,,,,,,,,,,,,,,,,,,,,0,8.0,28.0,.286,0.0,0.0,,8.0,28.0,.286,0.0,0.0,,4.0,8.0,12.0,4.0,8.0,4.0,4.0,0.0,16.0
228,James Johnson\johnsja01,PF,29,MIA,76,2085,,,,,,,,,,,,,,,,,,,,,5,6.4,13.3,.479,1.5,4.4,.340,4.9,8.9,.548,2.6,3.7,.707,1.1,5.3,6.5,4.8,1.3,1.5,3.0,3.4,16.8
229,Joe Johnson\johnsjo02,SF,35,UTA,78,1843,,,,,,,,,,,,,,,,,,,,,14,5.3,12.2,.436,2.1,5.0,.411,3.3,7.2,.454,1.2,1.5,.818,0.6,4.1,4.7,2.8,0.7,0.4,1.3,1.8,14.0
230,Stanley Johnson\johnsst04,SF,20,DET,77,1371,,,,,,,,,,,,,,,,,,,,,1,3.4,9.6,.353,1.2,4.0,.292,2.2,5.5,.398,0.9,1.4,.679,0.9,4.0,5.0,2.8,1.5,0.6,1.9,3.2,8.9
231,Tyler Johnson\johnsty01,PG,24,MIA,73,2178,,,,,,,,,,,,,,,,,,,,,0,5.9,13.6,.433,1.5,4.1,.372,4.4,9.5,.460,3.2,4.2,.768,0.8,4.0,4.8,3.9,1.4,0.7,1.5,2.9,16.6
232,Wesley Johnson\johnswe01,SF,29,LAC,68,810,,,,,,,,,,,,,,,,,,,,,3,3.2,8.9,.365,1.3,5.2,.246,2.0,3.6,.537,0.5,0.8,.647,1.2,6.9,8.0,1.0,1.3,1.3,0.8,3.7,8.3
